Country,latitude,longitude,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_millin,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,stringency_index
"Korea, South",35.907757,127.766922,31353,349,336.429,510,1,2.286,611.537,6.807,6.562,9.947,0.02,0.045,,,,,,,,,,2865680,10819,55.895,0.211,15186,0.296,0.022,45.1,44.44
Kosovo,42.602636,20.902977,34940,645,733.571,926,12,13.286,18077.644,333.717,379.543,479.104,6.209,6.874,,,,,,,,,,,,,,,,,,74.07
Kuwait,29.31166,47.481766,140393,337,437.714,868,2,3.714,32874.588,78.912,102.496,203.252,0.468,0.87,,,,,,,,,,1056493,4492,247.39,1.052,5694,1.333,0.077,13,62.96
Kyrgyzstan,41.20438,74.766098,69885,304,414.571,1237,6,4.857,10711.673,46.596,63.544,189.602,0.92,0.744,,,,,,,,,,,,,,,,,,56.02
Laos,19.85627,102.495496,39,14,2.143,,0,0,5.36,1.924,0.295,,0,0,,,,,,,,,,,,,,,,,,33.33
Latvia,56.8796,24.6032,13236,116,371.429,162,9,5.143,7017.276,61.499,196.919,85.887,4.771,2.727,,,,437,231.683,,,,,578903,2256,306.915,1.196,5399,2.862,0.069,14.5,57.41
Lebanon,33.8547,35.8623,117517,1041,1581.571,911,11,12,17217.493,152.518,231.717,133.471,1.612,1.758,,,,,,,,,,,,,,,,,,87.04
Lesotho,-29.609988,28.233608,2086,0,6.429,44,0,0,973.742,0,3.001,20.539,0,0,,,,,,,,,,,,,,,,,,47.22
Liberia,6.428055,-9.429499,1551,0,5.571,82,0,0,306.663,0,1.102,16.213,0,0,,,,,,,,,,,,,,,,,,57.41
Libya,26.3351,17.228331,78473,650,592.714,1102,13,11,11420.422,94.597,86.26,160.378,1.892,1.601,,,,,,,,,,,3708,,0.54,,,,,79.63
Liechtenstein,47.14,9.55,1156,44,23.857,12,4,0.714,30311.771,1153.735,625.564,314.655,104.885,18.729,,,,,,,,,,,,,,,,,,
Lithuania,55.1694,23.8813,48226,1179,1759.286,392,6,15.286,17715.226,433.091,646.252,143.996,2.204,5.615,,,,1629,598.393,,,,,1185115,9040,435.337,3.321,11263,4.137,0.156,6.4,62.96
